,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Cluster 746,13652,13664,15363,,-13.5041,14.5615,213.2482,5.0693,2.4474,3.7037,192.4711,9.2784,6.3150,8.2836,2033.0693,,-13.5026,14.5623,213.2470,5.0690,2.4478,3.7040,192.5046,9.2799,6.3142,8.2825,2032.8543,,-13.4603,14.5700,213.2234,5.0538,2.4470,3.6968,191.4982,9.3223,6.3064,8.2588,2033.8128,,-13.5041,14.5615,213.2482,1.3629,1.9630,6.3003,70.6033,3.5629,4.5692,11.7260,799.6179,,-13.5026,14.5623,213.2470,1.3630,1.9627,6.3004,70.6010,3.5628,4.5693,11.7241,799.4902,,-13.4603,14.5700,213.2234,1.3630,1.9616,6.2840,70.3791,3.5596,4.5598,11.6770,793.8972,,25.5123%,12.3024%,2.2907%,0.3659%,25.0805%,8.9871%,10.6557%,0.0732%,0.2342%,0.1683%,0.0073%,0.0220%,0.0659%,14.2345%,0.0000%,,22.6909%,10.9419%,2.0374%,0.3255%,22.3068%,7.9932%,9.4773%,0.0651%,0.2083%,0.1497%,0.0065%,0.0195%,0.0586%,12.6603%,0.0000%,,3486,1681,313,50,3427,1228,1456,10,32,23,1,3,9,1945,0
Cluster 747,1182,1182,1309,,-13.1884,-6.4171,207.3462,0.9143,1.0393,0.7607,3.0278,2.1234,2.3261,1.7160,35.5031,,-13.1884,-6.4171,207.3462,0.9143,1.0393,0.7607,3.0278,2.1234,2.3261,1.7160,35.5031,,-13.1863,-6.4051,207.3481,0.9129,1.0344,0.7583,2.9995,2.1212,2.3142,1.7178,35.3224,,-13.1884,-6.4171,207.3462,0.7525,0.9147,1.0448,3.0126,1.7036,2.1447,2.3234,35.5597,,-13.1884,-6.4171,207.3462,0.7525,0.9147,1.0448,3.0126,1.7036,2.1447,2.3234,35.5597,,-13.1863,-6.4051,207.3481,0.7514,0.9099,1.0420,2.9842,1.7042,2.1474,2.3535,36.0785,,26.6497%,10.1523%,1.7766%,0.5076%,25.8037%,8.1218%,12.9442%,0.0000%,0.3384%,0.0846%,0.0000%,0.0000%,0.0000%,13.6210%,0.0000%,,24.0642%,9.1673%,1.6043%,0.4584%,23.3002%,7.3338%,11.6883%,0.0000%,0.3056%,0.0764%,0.0000%,0.0000%,0.0000%,12.2995%,0.0000%,,315,120,21,6,305,96,153,0,4,1,0,0,0,161,0
Cluster 748,4829,4833,5445,,0.5519,24.2319,209.4853,1.6528,1.3787,1.7702,16.8959,3.6698,3.0401,4.0887,191.0760,,0.5514,24.2324,209.4857,1.6524,1.3793,1.7702,16.8995,3.6703,3.0396,4.0891,191.0866,,0.5550,24.2528,209.4845,1.6583,1.3788,1.7648,16.9026,3.6666,3.0695,4.0879,192.7155,,0.5519,24.2319,209.4853,1.0919,1.4310,2.1274,13.9242,2.4906,3.1580,4.4307,145.9783,,0.5514,24.2324,209.4857,1.0918,1.4309,2.1276,13.9232,2.4912,3.1589,4.4298,146.0257,,0.5550,24.2528,209.4845,1.0920,1.4316,2.1269,13.9278,2.5013,3.1370,4.4281,145.5436,,25.8432%,12.0215%,2.0898%,0.3311%,26.7950%,10.9042%,9.3317%,0.1035%,0.2483%,0.1035%,0.0000%,0.0000%,0.0828%,12.1457%,0.0000%,,22.9385%,10.6703%,1.8549%,0.2938%,23.7833%,9.6786%,8.2828%,0.0918%,0.2204%,0.0918%,0.0000%,0.0000%,0.0735%,10.7805%,0.0000%,,1249,581,101,16,1295,527,451,5,12,5,0,0,4,587,0
Cluster 749,1622,1622,1850,,-27.7182,26.5322,207.9480,0.9207,0.8954,1.0555,3.6447,2.2007,2.0301,2.4000,44.9131,,-27.7182,26.5322,207.9480,0.9207,0.8954,1.0555,3.6447,2.2007,2.0301,2.4000,44.9131,,-27.7228,26.5412,207.9471,0.9231,0.8964,1.0440,3.6186,2.2236,2.0847,2.4009,46.6196,,-27.7182,26.5322,207.9480,0.8111,0.9662,1.0826,3.5537,1.9311,2.2463,2.3911,43.4471,,-27.7182,26.5322,207.9480,0.8111,0.9662,1.0826,3.5537,1.9311,2.2463,2.3911,43.4471,,-27.7228,26.5412,207.9471,0.8196,0.9620,1.0716,3.5393,1.9332,2.2470,2.3905,43.4971,,26.8187%,12.3921%,2.2811%,0.6165%,23.3046%,7.8915%,14.3033%,0.0617%,0.1233%,0.3083%,0.0000%,0.0000%,0.0000%,11.8989%,0.0000%,,23.5135%,10.8649%,2.0000%,0.5405%,20.4324%,6.9189%,12.5405%,0.0541%,0.1081%,0.2703%,0.0000%,0.0000%,0.0000%,10.4324%,0.0000%,,435,201,37,10,378,128,232,1,2,5,0,0,0,193,0
Cluster 750,2121,2122,2422,,4.5286,-0.2907,208.8004,0.9709,1.1111,1.2047,5.4438,2.2077,2.5213,2.6837,62.5724,,4.5287,-0.2914,208.8011,0.9707,1.1113,1.2049,5.4445,2.2078,2.5206,2.6830,62.5409,,4.5195,-0.3010,208.7999,0.9729,1.1060,1.2029,5.4219,2.1986,2.5110,2.6842,62.0708,,4.5286,-0.2907,208.8004,0.9625,1.1141,1.2087,5.4289,2.1264,2.4566,2.6990,59.0567,,4.5287,-0.2914,208.8011,0.9623,1.1143,1.2089,5.4297,2.1261,2.4590,2.6981,59.0857,,4.5195,-0.3010,208.7999,0.9635,1.1084,1.2083,5.4051,2.1414,2.4533,2.6958,59.3222,,23.8454%,12.5353%,2.2149%,0.5184%,24.2696%,8.1527%,15.1744%,0.0943%,0.5184%,0.0943%,0.0000%,0.0471%,0.0000%,12.5353%,0.0000%,,20.8918%,10.9827%,1.9405%,0.4542%,21.2634%,7.1429%,13.2948%,0.0826%,0.4542%,0.0826%,0.0000%,0.0413%,0.0000%,10.9827%,0.0000%,,506,266,47,11,515,173,322,2,11,2,0,1,0,266,0
Cluster 751,8353,8359,9295,,-24.2277,12.1576,209.4750,1.7194,2.0672,1.4311,21.3068,3.9293,4.6115,3.2879,249.5552,,-24.2279,12.1578,209.4750,1.7195,2.0673,1.4311,21.3090,3.9295,4.6117,3.2879,249.5722,,-24.2164,12.1630,209.4604,1.7240,2.0663,1.4329,21.3810,3.9180,4.6169,3.2733,248.0216,,-24.2277,12.1576,209.4750,1.3307,1.4892,2.2998,19.0907,3.0253,3.3817,4.9869,213.7079,,-24.2279,12.1578,209.4750,1.3308,1.4891,2.3001,19.0914,3.0253,3.3819,4.9869,213.7209,,-24.2164,12.1630,209.4604,1.3302,1.4913,2.3025,19.1324,3.0536,3.3653,4.9981,215.1475,,24.0340%,11.6282%,2.3926%,0.4666%,27.6947%,9.9294%,7.9794%,0.0957%,0.2632%,0.2871%,0.0000%,0.0359%,0.0359%,15.1573%,0.0000%,,21.6138%,10.4572%,2.1517%,0.4196%,24.9059%,8.9295%,7.1759%,0.0861%,0.2367%,0.2582%,0.0000%,0.0323%,0.0323%,13.6310%,0.0000%,,2009,972,200,39,2315,830,667,8,22,24,0,3,3,1267,0
Cluster 752,1096,1097,1228,,0.4840,12.0619,208.8011,0.7701,0.7861,1.0193,2.5847,1.8287,1.8220,2.2358,31.2037,,0.4842,12.0617,208.8023,0.7698,0.7857,1.0197,2.5835,1.8289,1.8222,2.2371,31.2283,,0.4769,12.0666,208.8021,0.7728,0.7825,1.0128,2.5656,1.8215,1.8173,2.2368,31.0151,,0.4840,12.0619,208.8011,0.7629,0.7857,1.0250,2.5736,1.7513,1.7540,2.1824,28.0803,,0.4842,12.0617,208.8023,0.7626,0.7854,1.0253,2.5725,1.7520,1.7549,2.1839,28.1258,,0.4769,12.0666,208.8021,0.7677,0.7793,1.0192,2.5541,1.7922,1.7303,2.1749,28.2511,,25.3418%,11.3947%,2.1878%,0.2735%,24.4303%,9.0246%,15.0410%,0.0912%,0.1823%,0.6381%,0.0000%,0.0000%,0.0912%,11.3036%,0.0000%,,22.6384%,10.1792%,1.9544%,0.2443%,21.8241%,8.0619%,13.4365%,0.0814%,0.1629%,0.5700%,0.0000%,0.0000%,0.0814%,10.0977%,0.0000%,,278,125,24,3,268,99,165,1,2,7,0,0,1,124,0
Cluster 753,6882,6889,8046,,33.1902,11.6166,211.1409,1.4935,1.7143,2.0631,22.1257,3.2109,3.8975,4.4660,234.1055,,33.1915,11.6168,211.1415,1.4936,1.7146,2.0630,22.1307,3.2096,3.8972,4.4666,234.0297,,33.2080,11.6215,211.1223,1.4997,1.7166,2.0431,22.0315,3.1990,3.8925,4.4474,231.9787,,33.1902,11.6166,211.1409,1.4410,1.5870,2.1979,21.0540,3.1575,3.5637,4.7275,222.8286,,33.1915,11.6168,211.1415,1.4412,1.5872,2.1978,21.0593,3.1589,3.5627,4.7278,222.8675,,33.2080,11.6215,211.1223,1.4447,1.5897,2.1807,20.9787,3.1664,3.6397,4.7062,227.1851,,26.3028%,12.1643%,2.9758%,0.4064%,24.6190%,11.1047%,10.1031%,0.0290%,0.3919%,0.3629%,0.0000%,0.0435%,0.0581%,11.4385%,0.0000%,,22.5205%,10.4151%,2.5478%,0.3480%,21.0788%,9.5078%,8.6503%,0.0249%,0.3356%,0.3107%,0.0000%,0.0373%,0.0497%,9.7937%,0.0000%,,1812,838,205,28,1696,765,696,2,27,25,0,3,4,788,0
Cluster 754,4605,4611,5214,,19.8979,-15.9145,210.3519,1.2358,1.3945,1.3919,10.0474,2.9077,3.3993,2.9133,120.6187,,19.8972,-15.9144,210.3508,1.2363,1.3940,1.3922,10.0505,2.9070,3.3992,2.9121,120.5367,,19.9088,-15.8984,210.3481,1.2365,1.3930,1.3955,10.0683,2.9186,3.3832,2.9113,120.4115,,19.8979,-15.9145,210.3519,1.1973,1.3320,1.4838,9.9115,2.7473,3.2288,3.7511,139.3731,,19.8972,-15.9144,210.3508,1.1974,1.3316,1.4842,9.9135,2.7467,3.2279,3.7491,139.2325,,19.9088,-15.8984,210.3481,1.2007,1.3281,1.4870,9.9328,2.7524,3.2098,3.7329,138.1391,,26.8705%,12.8606%,2.3422%,0.2602%,23.9427%,9.2822%,8.3279%,0.1301%,0.0867%,0.2819%,0.0000%,0.0434%,0.0867%,15.4847%,0.0000%,,23.7629%,11.3732%,2.0713%,0.2301%,21.1738%,8.2087%,7.3648%,0.1151%,0.0767%,0.2493%,0.0000%,0.0384%,0.0767%,13.6939%,0.0000%,,1239,593,108,12,1104,428,384,6,4,13,0,2,4,714,0
Cluster 755,2167,2169,2426,,17.5731,-8.1508,210.0022,1.0580,1.0695,1.0872,5.1528,2.4926,2.4228,2.4712,62.5113,,17.5722,-8.1516,210.0012,1.0582,1.0693,1.0874,5.1542,2.4917,2.4236,2.4702,62.4844,,17.5757,-8.1374,209.9877,1.0584,1.0692,1.0859,5.1474,2.4952,2.4094,2.4567,61.8680,,17.5731,-8.1508,210.0022,0.9837,1.0857,1.1396,5.0982,2.1940,2.3804,2.7285,59.6897,,17.5722,-8.1516,210.0012,0.9835,1.0860,1.1397,5.0992,2.1926,2.3841,2.7272,59.7145,,17.5757,-8.1374,209.9877,0.9876,1.0850,1.1358,5.0979,2.1680,2.3852,2.7042,58.5763,,26.2333%,11.8027%,2.7201%,0.5994%,22.3144%,8.2527%,14.4767%,0.0461%,0.3227%,0.1383%,0.0000%,0.0000%,0.0922%,13.0014%,0.0000%,,23.4542%,10.5523%,2.4320%,0.5359%,19.9505%,7.3784%,12.9431%,0.0412%,0.2885%,0.1237%,0.0000%,0.0000%,0.0824%,11.6241%,0.0000%,,569,256,59,13,484,179,314,1,7,3,0,0,2,282,0
Cluster 756,122,122,135,,-39.5063,4.2413,208.3765,0.4067,0.3773,0.4740,0.3047,0.7559,0.7837,1.0295,2.5545,,-39.5063,4.2413,208.3765,0.4067,0.3773,0.4740,0.3047,0.7559,0.7837,1.0295,2.5545,,-39.5254,4.2357,208.3798,0.4092,0.3671,0.4699,0.2956,0.8155,0.7894,1.0262,2.7669,,-39.5063,4.2413,208.3765,0.3328,0.3908,0.5186,0.2825,0.8037,0.7986,1.1075,2.9775,,-39.5063,4.2413,208.3765,0.3328,0.3908,0.5186,0.2825,0.8037,0.7986,1.1075,2.9775,,-39.5254,4.2357,208.3798,0.3317,0.3876,0.5125,0.2761,0.7629,0.7895,1.0955,2.7636,,23.7705%,13.9344%,1.6393%,0.8197%,27.0492%,9.0164%,11.4754%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,12.2951%,0.0000%,,21.4815%,12.5926%,1.4815%,0.7407%,24.4444%,8.1481%,10.3704%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,11.1111%,0.0000%,,29,17,2,1,33,11,14,0,0,0,0,0,0,15,0
Cluster 757,1126,1129,1274,,12.8805,-24.5606,210.6223,0.6036,1.8132,0.9279,4.2538,1.5414,3.6712,2.1529,51.0303,,12.8797,-24.5604,210.6213,0.6035,1.8139,0.9271,4.2508,1.5422,3.6710,2.1519,51.0302,,12.8746,-24.5547,210.6202,0.6067,1.8086,0.9233,4.2439,1.5473,3.6653,2.1507,51.0928,,12.8805,-24.5606,210.6223,0.5358,0.5956,1.9676,2.6300,1.2848,1.5327,3.9022,32.1891,,12.8797,-24.5604,210.6213,0.5353,0.5967,1.9675,2.6322,1.2870,1.5424,3.9015,32.4397,,12.8746,-24.5547,210.6202,0.5435,0.5938,1.9605,2.6504,1.3248,1.5056,3.8931,32.5264,,27.3694%,13.8175%,2.6572%,0.1771%,21.7006%,7.7945%,10.6289%,0.1771%,0.2657%,0.3543%,0.0000%,0.0886%,0.1771%,14.7919%,0.0000%,,24.2543%,12.2449%,2.3548%,0.1570%,19.2308%,6.9074%,9.4192%,0.1570%,0.2355%,0.3140%,0.0000%,0.0785%,0.1570%,13.1083%,0.0000%,,309,156,30,2,245,88,120,2,3,4,0,1,2,167,0
Cluster 758,2229,2231,2463,,-21.0144,2.7591,210.8168,1.1440,0.9652,1.2569,5.8134,2.6684,2.0232,2.7543,62.2866,,-21.0143,2.7586,210.8166,1.1438,0.9650,1.2566,5.8098,2.6684,2.0237,2.7545,62.3036,,-21.0025,2.7545,210.8089,1.1449,0.9648,1.2562,5.8126,2.6566,2.1028,2.7622,64.6360,,-21.0144,2.7591,210.8168,0.9027,0.9533,1.4479,5.2195,2.1091,1.9929,3.0451,53.6119,,-21.0143,2.7586,210.8166,0.9023,0.9532,1.4477,5.2157,2.1091,1.9923,3.0447,53.5878,,-21.0025,2.7545,210.8089,0.9014,0.9542,1.4480,5.2171,2.1630,2.0308,3.0273,55.7029,,25.4594%,13.0435%,2.1963%,0.5827%,25.4146%,8.3819%,10.2196%,0.0896%,0.2689%,0.3138%,0.0000%,0.0896%,0.0000%,13.9399%,0.0000%,,23.0613%,11.8149%,1.9894%,0.5278%,23.0207%,7.5924%,9.2570%,0.0812%,0.2436%,0.2842%,0.0000%,0.0812%,0.0000%,12.6269%,0.0000%,,568,291,49,13,567,187,228,2,6,7,0,2,0,311,0
Cluster 759,686,686,767,,-32.3878,8.8020,210.4128,0.6858,0.5987,0.8248,1.4184,1.6815,1.3982,1.5743,15.5042,,-32.3878,8.8020,210.4128,0.6858,0.5987,0.8248,1.4184,1.6815,1.3982,1.5743,15.5042,,-32.3897,8.7983,210.4209,0.6820,0.6029,0.8257,1.4220,1.6796,1.3946,1.5824,15.5261,,-32.3878,8.8020,210.4128,0.5547,0.6172,0.9057,1.2989,1.3379,1.5636,1.8671,16.3608,,-32.3878,8.8020,210.4128,0.5547,0.6172,0.9057,1.2989,1.3379,1.5636,1.8671,16.3608,,-32.3897,8.7983,210.4209,0.5598,0.6156,0.9044,1.3055,1.3388,1.5580,1.8734,16.3688,,26.2391%,12.8280%,2.4781%,0.5831%,23.4694%,9.3294%,11.9534%,0.2915%,0.1458%,0.2915%,0.0000%,0.0000%,0.0000%,12.3907%,0.0000%,,23.4681%,11.4733%,2.2164%,0.5215%,20.9909%,8.3442%,10.6910%,0.2608%,0.1304%,0.2608%,0.0000%,0.0000%,0.0000%,11.0821%,0.0000%,,180,88,17,4,161,64,82,2,1,2,0,0,0,85,0
Cluster 760,2412,2418,2754,,15.8635,14.8902,211.3042,1.0094,1.0691,1.3599,6.1466,2.5112,2.4979,3.0676,80.6024,,15.8629,14.8911,211.3049,1.0101,1.0686,1.3590,6.1448,2.5119,2.4988,3.0683,80.6721,,15.8675,14.8790,211.3032,1.0154,1.0677,1.3524,6.1418,2.5072,2.4868,3.0666,80.0886,,15.8635,14.8902,211.3042,0.9865,1.0807,1.3674,6.1065,2.3682,2.4830,3.1425,77.4034,,15.8629,14.8911,211.3049,0.9865,1.0809,1.3666,6.1041,2.3686,2.4840,3.1441,77.4847,,15.8675,14.8790,211.3032,0.9925,1.0798,1.3598,6.1046,2.3686,2.4763,3.1528,77.4611,,26.3854%,11.3317%,2.5641%,0.2068%,24.1108%,9.1811%,12.6137%,0.0414%,0.1654%,0.2481%,0.0000%,0.0414%,0.2068%,12.9032%,0.0000%,,23.1663%,9.9492%,2.2513%,0.1816%,21.1692%,8.0610%,11.0748%,0.0363%,0.1452%,0.2179%,0.0000%,0.0363%,0.1816%,11.3290%,0.0000%,,638,274,62,5,583,222,305,1,4,6,0,1,5,312,0
Cluster 761,1601,1601,1819,,22.5743,17.3493,211.0525,0.9900,0.9166,1.1366,4.3202,2.2197,2.0389,2.4820,47.0511,,22.5743,17.3493,211.0525,0.9900,0.9166,1.1366,4.3202,2.2197,2.0389,2.4820,47.0511,,22.5826,17.3579,211.0374,0.9904,0.9208,1.1365,4.3419,2.2114,2.0475,2.4971,47.3600,,22.5743,17.3493,211.0525,0.9152,0.9856,1.1416,4.3130,2.0075,2.1333,2.4884,44.6403,,22.5743,17.3493,211.0525,0.9152,0.9856,1.1416,4.3130,2.0075,2.1333,2.4884,44.6403,,22.5826,17.3579,211.0374,0.9181,0.9861,1.1425,4.3326,1.9980,2.1150,2.5111,44.4505,,27.5453%,12.3673%,2.6234%,0.5621%,23.5478%,9.3691%,12.2423%,0.0625%,0.1874%,0.2498%,0.0625%,0.0000%,0.0000%,11.1805%,0.0000%,,24.2441%,10.8851%,2.3090%,0.4948%,20.7257%,8.2463%,10.7752%,0.0550%,0.1649%,0.2199%,0.0550%,0.0000%,0.0000%,9.8406%,0.0000%,,441,198,42,9,377,150,196,1,3,4,1,0,0,179,0
Cluster 762,968,968,1108,,15.8068,25.3865,210.8409,0.8694,0.8053,0.8772,2.5727,1.9765,1.8596,1.9394,29.8593,,15.8068,25.3865,210.8409,0.8694,0.8053,0.8772,2.5727,1.9765,1.8596,1.9394,29.8593,,15.7908,25.3882,210.8266,0.8770,0.7963,0.8840,2.5862,1.9925,1.8612,1.9251,29.9041,,15.8068,25.3865,210.8409,0.7119,0.8237,0.9943,2.4422,1.5779,1.7877,2.0704,24.4626,,15.8068,25.3865,210.8409,0.7119,0.8237,0.9943,2.4422,1.5779,1.7877,2.0704,24.4626,,15.7908,25.3882,210.8266,0.7165,0.8218,0.9981,2.4615,1.5630,1.7546,2.0844,23.9450,,23.0372%,12.9132%,2.1694%,0.6198%,24.5868%,9.7107%,14.1529%,0.3099%,0.1033%,0.3099%,0.0000%,0.0000%,0.0000%,12.0868%,0.0000%,,20.1264%,11.2816%,1.8953%,0.5415%,21.4801%,8.4838%,12.3646%,0.2708%,0.0903%,0.2708%,0.0000%,0.0000%,0.0000%,10.5596%,0.0000%,,223,125,21,6,238,94,137,3,1,3,0,0,0,117,0
Cluster 763,2574,2577,2876,,-11.6675,-31.7177,212.9239,1.1369,0.9302,1.5167,6.7188,2.6106,2.1945,3.4826,83.5736,,-11.6688,-31.7178,212.9227,1.1372,0.9304,1.5164,6.7202,2.6093,2.1946,3.4838,83.5652,,-11.6804,-31.7076,212.9086,1.1337,0.9337,1.5128,6.7078,2.5977,2.1845,3.4980,83.1466,,-11.6675,-31.7177,212.9239,0.9283,1.0182,1.5999,6.3347,2.2038,2.2199,3.6114,74.0042,,-11.6688,-31.7178,212.9227,0.9285,1.0189,1.5993,6.3381,2.2039,2.2216,3.6119,74.0772,,-11.6804,-31.7076,212.9086,0.9325,1.0136,1.5964,6.3210,2.1925,2.2343,3.6200,74.2803,,22.1964%,12.6892%,2.3283%,0.5433%,25.3783%,8.3430%,12.1071%,0.0388%,0.4269%,0.3104%,0.0000%,0.0776%,0.0388%,15.5219%,0.0000%,,19.8887%,11.3700%,2.0862%,0.4868%,22.7399%,7.4757%,10.8484%,0.0348%,0.3825%,0.2782%,0.0000%,0.0695%,0.0348%,13.9082%,0.0000%,,572,327,60,14,654,215,312,1,11,8,0,2,1,400,0
Cluster 764,500,501,566,,17.6177,-29.9706,211.4383,0.5987,0.5781,0.7040,1.0206,1.3098,1.3153,1.6101,11.6191,,17.6186,-29.9688,211.4373,0.5984,0.5789,0.7036,1.0211,1.3089,1.3171,1.6092,11.6200,,17.6287,-29.9799,211.4308,0.5983,0.5853,0.6979,1.0239,1.3573,1.3219,1.6026,12.0439,,17.6177,-29.9706,211.4383,0.5193,0.6200,0.7308,0.9856,1.1432,1.4704,1.5075,10.6154,,17.6186,-29.9688,211.4373,0.5201,0.6200,0.7304,0.9866,1.1439,1.4720,1.5060,10.6226,,17.6287,-29.9799,211.4308,0.5224,0.6221,0.7264,0.9890,1.1395,1.4505,1.4986,10.3754,,30.5389%,13.3733%,2.3952%,0.3992%,17.9641%,10.7784%,10.9780%,0.1996%,0.3992%,0.1996%,0.0000%,0.0000%,0.1996%,12.5749%,0.0000%,,27.0318%,11.8375%,2.1201%,0.3534%,15.9011%,9.5406%,9.7173%,0.1767%,0.3534%,0.1767%,0.0000%,0.0000%,0.1767%,11.1307%,0.0000%,,153,67,12,2,90,54,55,1,2,1,0,0,1,63,0
Cluster 765,2974,2978,3286,,-29.7822,-24.7217,211.8777,1.2654,1.1019,1.3103,7.6533,2.7654,2.4819,3.1960,91.8838,,-29.7837,-24.7224,211.8781,1.2656,1.1022,1.3102,7.6558,2.7638,2.4813,3.1956,91.7973,,-29.7858,-24.7124,211.8759,1.2602,1.1081,1.3087,7.6555,2.7617,2.4912,3.1979,92.1601,,-29.7822,-24.7217,211.8777,0.9702,1.1820,1.4812,7.1154,2.3441,2.5248,3.2182,79.7801,,-29.7837,-24.7224,211.8781,0.9708,1.1814,1.4815,7.1178,2.3455,2.5245,3.2192,79.8464,,-29.7858,-24.7124,211.8759,0.9681,1.1809,1.4823,7.0979,2.3323,2.5198,3.2228,79.3372,,21.8939%,11.9208%,1.4103%,0.3694%,25.9906%,8.1598%,12.3237%,0.1343%,0.5373%,0.2351%,0.0000%,0.0672%,0.0672%,16.8905%,0.0000%,,19.8418%,10.8034%,1.2781%,0.3348%,23.5545%,7.3950%,11.1686%,0.1217%,0.4869%,0.2130%,0.0000%,0.0609%,0.0609%,15.3074%,0.0000%,,652,355,42,11,774,243,367,4,16,7,0,2,2,503,0
Cluster 766,917,918,1018,,-7.5866,-23.7336,211.9281,0.8081,0.8267,0.8344,2.3352,1.8137,1.9994,1.9844,30.1427,,-7.5863,-23.7347,211.9265,0.8077,0.8270,0.8354,2.3375,1.8140,2.0005,1.9828,30.1395,,-7.5848,-23.7255,211.9203,0.8015,0.8202,0.8445,2.3254,1.8155,1.9913,1.9766,29.9317,,-7.5866,-23.7336,211.9281,0.7290,0.8531,0.8796,2.2912,1.5828,1.8922,1.8811,23.5999,,-7.5863,-23.7347,211.9265,0.7286,0.8547,0.8791,2.2932,1.5838,1.8923,1.8805,23.6088,,-7.5848,-23.7255,211.9203,0.7287,0.8541,0.8762,2.2843,1.6112,1.8334,1.8625,23.0465,,25.0545%,10.2397%,2.5054%,0.3268%,23.3115%,8.4967%,16.9935%,0.1089%,0.1089%,0.0000%,0.0000%,0.1089%,0.0000%,12.7451%,0.0000%,,22.5933%,9.2338%,2.2593%,0.2947%,21.0216%,7.6621%,15.3242%,0.0982%,0.0982%,0.0000%,0.0000%,0.0982%,0.0000%,11.4931%,0.0000%,,230,94,23,3,214,78,156,1,1,0,0,1,0,117,0
Cluster 767,158,158,179,,-23.3378,-6.8424,210.0222,0.5393,0.4713,0.4551,0.4845,1.2075,1.0328,0.9242,4.8281,,-23.3378,-6.8424,210.0222,0.5393,0.4713,0.4551,0.4845,1.2075,1.0328,0.9242,4.8281,,-23.3387,-6.8327,210.0284,0.5515,0.4814,0.4446,0.4943,1.2085,1.1368,0.9180,5.2829,,-23.3378,-6.8424,210.0222,0.4110,0.4611,0.5819,0.4619,0.9381,0.9754,1.2509,4.7944,,-23.3378,-6.8424,210.0222,0.4110,0.4611,0.5819,0.4619,0.9381,0.9754,1.2509,4.7944,,-23.3387,-6.8327,210.0284,0.4141,0.4647,0.5883,0.4742,0.9436,0.9024,1.2552,4.4769,,19.6203%,11.3924%,0.0000%,0.0000%,29.7468%,8.8608%,11.3924%,0.0000%,0.6329%,1.2658%,0.0000%,0.0000%,0.0000%,17.0886%,0.0000%,,17.3184%,10.0559%,0.0000%,0.0000%,26.2570%,7.8212%,10.0559%,0.0000%,0.5587%,1.1173%,0.0000%,0.0000%,0.0000%,15.0838%,0.0000%,,31,18,0,0,47,14,18,0,1,2,0,0,0,27,0
